AgeGroup,Attrition,Attrition_Reason,BusinessTravel,Department,EducationField,EmpID,EmployeeExperence,EnvironmentSatisfactionStatus,Gender,JobRole,MaritalStatus,Month,New_hire vs old,Over18,OverTime,PerformanceRating - Copy,Salary_Hike,SalarySlab,TotalWorkingStatus,Year
26-35,No,Attendance Issue,Non-Travel,Sales,Marketing,RM122,0-5,Fair,Male,Sales Executive,Married,Mar,NEW_Hire,Y,No,Below Expectations,7.00%,5k-10k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Sales,Marketing,RM1254,5-15,Poor,Female,Sales Executive,Single,Feb,old,Y,No,Below Expectations,11.00%,5k-10k,11-25,2022
26-35,No,Attendance Issue,Non-Travel,Sales,Marketing,RM1254,5-15,Poor,Female,Sales Executive,Single,Feb,old,Y,No,Below Expectations,11.00%,5k-10k,11-25,2023
26-35,No,Attendance Issue,Non-Travel,Sales,Marketing,RM242,0-5,Fair,Male,Sales Executive,Married,Oct,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Sales,Marketing,RM242,0-5,Fair,Male,Sales Executive,Married,Sep,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Sales,Marketing,RM680,0-5,Poor,Female,Sales Executive,Married,Aug,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Sales,Marketing,RM680,0-5,Poor,Female,Sales Executive,Married,Jan,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Sales,Technical Degree,RM355,0-5,Poor,Female,Sales Executive,Married,Aug,NEW_Hire,Y,Yes,Below Expectations,2.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Sales,Technical Degree,RM355,0-5,Poor,Female,Sales Executive,Married,Jun,NEW_Hire,Y,Yes,Below Expectations,2.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM006,0-5,Poor,Male,Laboratory Technician,Single,Jun,NEW_Hire,Y,No,Below Expectations,7.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM006,0-5,Poor,Male,Laboratory Technician,Single,Mar,NEW_Hire,Y,No,Below Expectations,7.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM1001,0-5,Poor,Male,Laboratory Technician,Single,Apr,NEW_Hire,Y,No,Below Expectations,7.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM1003,0-5,Fair,Male,Manufacturing Director,Single,Nov,NEW_Hire,Y,No,Below Expectations,2.00%,5k-10k,Above 25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM1003,0-5,Fair,Male,Manufacturing Director,Single,Sep,NEW_Hire,Y,No,Below Expectations,2.00%,5k-10k,Above 25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM1003,0-5,Poor,Male,Laboratory Technician,Divorced,Oct,NEW_Hire,Y,No,Meet Expectations,1.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM121,5-15,Good,Male,Research Scientist,Divorced,Feb,NEW_Hire,Y,No,Meet Expectations,10.00%,Upto 5k,Above 25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM121,5-15,Good,Male,Research Scientist,Divorced,Jan,NEW_Hire,Y,No,Meet Expectations,10.00%,Upto 5k,Above 25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM1335,0-5,Poor,Female,Research Scientist,Married,Nov,NEW_Hire,Y,No,Below Expectations,7.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM1335,0-5,Poor,Female,Research Scientist,Married,Oct,NEW_Hire,Y,No,Below Expectations,7.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM1399,0-5,Poor,Male,Healthcare Representative,Divorced,Jan,NEW_Hire,Y,No,Meet Expectations,9.00%,5k-10k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM1399,0-5,Poor,Male,Healthcare Representative,Divorced,Oct,NEW_Hire,Y,No,Meet Expectations,9.00%,5k-10k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM1457,5-15,Fair,Male,Healthcare Representative,Married,Jan,NEW_Hire,Y,Yes,Below Expectations,10.00%,5k-10k,Above 25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM1457,5-15,Fair,Male,Healthcare Representative,Married,Oct,NEW_Hire,Y,Yes,Below Expectations,10.00%,5k-10k,Above 25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM189,5-15,Poor,Male,Manufacturing Director,Married,Aug,NEW_Hire,Y,No,Below Expectations,10.00%,5k-10k,Above 25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM189,5-15,Poor,Male,Manufacturing Director,Married,Oct,NEW_Hire,Y,No,Below Expectations,10.00%,5k-10k,Above 25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM314,5-15,Poor,Female,Manager,Married,Apr,old,Y,No,Below Expectations,10.00%,10k-15k,11-25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM314,5-15,Poor,Female,Manager,Married,Nov,old,Y,No,Below Expectations,10.00%,10k-15k,11-25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM326,5-15,Fair,Female,Manufacturing Director,Married,Jan,NEW_Hire,Y,No,Meet Expectations,10.00%,5k-10k,Above 25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM326,5-15,Fair,Female,Manufacturing Director,Married,May,NEW_Hire,Y,No,Meet Expectations,10.00%,5k-10k,Above 25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM510,5-15,Fair,Male,Healthcare Representative,Divorced,Jul,old,Y,No,Meet Expectations,13.00%,5k-10k,11-25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM510,5-15,Fair,Male,Healthcare Representative,Divorced,Sep,old,Y,No,Meet Expectations,13.00%,5k-10k,11-25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM559,5-15,Good,Male,Laboratory Technician,Married,Sep,NEW_Hire,Y,No,Below Expectations,10.00%,5k-10k,Above 25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM572,0-5,Good,Female,Laboratory Technician,Divorced,Jan,NEW_Hire,Y,No,Below Expectations,2.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM572,0-5,Good,Female,Laboratory Technician,Divorced,Nov,NEW_Hire,Y,No,Below Expectations,2.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM824,0-5,Poor,Female,Research Scientist,Divorced,Jan,NEW_Hire,Y,No,Below Expectations,7.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM824,0-5,Poor,Female,Research Scientist,Divorced,Mar,NEW_Hire,Y,No,Below Expectations,7.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM828,0-5,Fair,Male,Research Scientist,Divorced,Mar,NEW_Hire,Y,Yes,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM828,0-5,Fair,Male,Research Scientist,Divorced,Oct,NEW_Hire,Y,Yes,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM882,0-5,Poor,Female,Research Scientist,Single,Aug,NEW_Hire,Y,Yes,Below Expectations,8.00%,Upto 5k,Above 25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM882,0-5,Poor,Female,Research Scientist,Single,Feb,NEW_Hire,Y,Yes,Below Expectations,8.00%,Upto 5k,Above 25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM930,0-5,Poor,Male,Laboratory Technician,Married,Jan,NEW_Hire,Y,Yes,Below Expectations,2.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Life Sciences,RM930,0-5,Poor,Male,Laboratory Technician,Married,Sep,NEW_Hire,Y,Yes,Below Expectations,2.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM045,5-15,Fair,Female,Laboratory Technician,Single,Apr,old,Y,No,Meet Expectations,12.00%,Upto 5k,11-25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM045,5-15,Fair,Female,Laboratory Technician,Single,Nov,old,Y,No,Meet Expectations,12.00%,Upto 5k,11-25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM069,0-5,Excellent,Male,Research Scientist,Married,Jul,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM069,0-5,Excellent,Male,Research Scientist,Married,Mar,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM1044,more than 15yr,Excellent,Female,Research Director,Divorced,Sep,old,Y,Yes,Below Expectations,27.00%,15k+,Above 25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM1216,0-5,Good,Male,Research Scientist,Single,Mar,NEW_Hire,Y,Yes,Below Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM1216,0-5,Good,Male,Research Scientist,Single,Nov,NEW_Hire,Y,Yes,Below Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM502,0-5,Fair,Female,Research Scientist,Divorced,Jan,NEW_Hire,Y,No,Meet Expectations,1.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM502,0-5,Fair,Female,Research Scientist,Divorced,Jun,NEW_Hire,Y,No,Meet Expectations,1.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM921,5-15,Fair,Female,Laboratory Technician,Divorced,Jul,old,Y,No,Below Expectations,11.00%,Upto 5k,11-25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM921,5-15,Fair,Female,Laboratory Technician,Divorced,Sep,old,Y,No,Below Expectations,11.00%,Upto 5k,11-25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM922,0-5,Poor,Male,Laboratory Technician,Single,Jul,NEW_Hire,Y,Yes,Below Expectations,4.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Medical,RM922,0-5,Poor,Male,Laboratory Technician,Single,May,NEW_Hire,Y,Yes,Below Expectations,4.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Other,RM1016,0-5,Poor,Male,Research Scientist,Divorced,Aug,NEW_Hire,Y,No,Below Expectations,4.00%,Upto 5k,Above 25,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Other,RM1016,0-5,Poor,Male,Research Scientist,Divorced,Nov,NEW_Hire,Y,No,Below Expectations,4.00%,Upto 5k,Above 25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Other,RM716,0-5,Fair,Female,Healthcare Representative,Married,Jan,NEW_Hire,Y,Yes,Below Expectations,6.00%,5k-10k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Other,RM716,0-5,Fair,Female,Healthcare Representative,Married,Jun,NEW_Hire,Y,Yes,Below Expectations,6.00%,5k-10k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Other,RM849,0-5,Poor,Male,Laboratory Technician,Married,May,NEW_Hire,Y,No,Below Expectations,2.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Other,RM849,0-5,Poor,Male,Laboratory Technician,Married,May,NEW_Hire,Y,No,Below Expectations,2.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Other,RM881,0-5,Fair,Female,Laboratory Technician,Married,Jan,NEW_Hire,Y,No,Meet Expectations,2.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Other,RM881,0-5,Fair,Female,Laboratory Technician,Married,May,NEW_Hire,Y,No,Meet Expectations,2.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Technical Degree,RM1245,0-5,Poor,Female,Research Scientist,Single,Mar,NEW_Hire,Y,No,Below Expectations,9.00%,Upto 5k,Above 25,2022
26-35,No,Attendance Issue,Travel_Frequently,Research & Development,Technical Degree,RM1245,0-5,Poor,Female,Research Scientist,Single,Sep,NEW_Hire,Y,No,Below Expectations,9.00%,Upto 5k,Above 25,2023
26-35,No,Attendance Issue,Travel_Frequently,Sales,Life Sciences,RM1030,0-5,Excellent,Male,Sales Executive,Single,May,NEW_Hire,Y,No,Meet Expectations,9.00%,Upto 5k,Above 25,2023
26-35,No,Attendance Issue,Travel_Frequently,Sales,Life Sciences,RM1365,0-5,Fair,Male,Sales Executive,Married,Apr,NEW_Hire,Y,Yes,Below Expectations,7.00%,5k-10k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Sales,Life Sciences,RM1365,0-5,Fair,Male,Sales Executive,Married,May,NEW_Hire,Y,Yes,Below Expectations,7.00%,5k-10k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Sales,Life Sciences,RM213,0-5,Poor,Female,Sales Executive,Single,Oct,NEW_Hire,Y,No,Below Expectations,7.00%,5k-10k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Sales,Life Sciences,RM213,0-5,Poor,Female,Sales Executive,Single,Sep,NEW_Hire,Y,No,Below Expectations,7.00%,5k-10k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Sales,Life Sciences,RM991,0-5,Excellent,Male,Sales Executive,Married,Feb,NEW_Hire,Y,No,Below Expectations,5.00%,5k-10k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Sales,Life Sciences,RM991,0-5,Excellent,Male,Sales Executive,Married,Oct,NEW_Hire,Y,No,Below Expectations,5.00%,5k-10k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Sales,Marketing,RM1320,0-5,Poor,Male,Sales Executive,Single,Feb,NEW_Hire,Y,No,Below Expectations,0.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Sales,Marketing,RM1320,0-5,Poor,Male,Sales Executive,Single,Feb,NEW_Hire,Y,No,Below Expectations,0.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Sales,Marketing,RM155,0-5,Excellent,Female,Sales Executive,Single,Apr,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Sales,Marketing,RM155,0-5,Excellent,Female,Sales Executive,Single,Aug,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Sales,Medical,RM1048,0-5,Poor,Male,Sales Executive,Married,Jun,NEW_Hire,Y,No,Below Expectations,4.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Sales,Medical,RM1048,0-5,Poor,Male,Sales Executive,Married,Mar,NEW_Hire,Y,No,Below Expectations,4.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Sales,Medical,RM145,0-5,Poor,Male,Sales Executive,Divorced,Apr,NEW_Hire,Y,No,Below Expectations,8.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Frequently,Sales,Medical,RM145,0-5,Poor,Male,Sales Executive,Divorced,Sep,NEW_Hire,Y,No,Below Expectations,8.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Sales,Medical,RM686,0-5,Fair,Male,Sales Executive,Single,Oct,NEW_Hire,Y,No,Below Expectations,7.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Frequently,Sales,Medical,RM686,0-5,Fair,Male,Sales Executive,Single,Sep,NEW_Hire,Y,No,Below Expectations,7.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Rarely,Human Resources,Human Resources,RM140,5-15,Fair,Male,Human Resources,Married,Jan,old,Y,Yes,Below Expectations,11.00%,5k-10k,11-25,2022
26-35,No,Attendance Issue,Travel_Rarely,Human Resources,Human Resources,RM140,5-15,Fair,Male,Human Resources,Married,Oct,old,Y,Yes,Below Expectations,11.00%,5k-10k,11-25,2023
26-35,No,Attendance Issue,Travel_Rarely,Human Resources,Human Resources,RM864,0-5,Excellent,Male,Human Resources,Married,May,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Rarely,Human Resources,Human Resources,RM864,0-5,Excellent,Male,Human Resources,Married,Oct,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Rarely,Human Resources,Life Sciences,RM1451,0-5,Fair,Female,Human Resources,Single,Mar,NEW_Hire,Y,Yes,Below Expectations,9.00%,5k-10k,0-10,2022
26-35,No,Attendance Issue,Travel_Rarely,Human Resources,Life Sciences,RM1451,0-5,Fair,Female,Human Resources,Single,Mar,NEW_Hire,Y,Yes,Below Expectations,9.00%,5k-10k,0-10,2023
26-35,No,Attendance Issue,Travel_Rarely,Human Resources,Technical Degree,RM836,0-5,Fair,Male,Human Resources,Single,Feb,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Travel_Rarely,Human Resources,Technical Degree,RM836,0-5,Fair,Male,Human Resources,Single,Jan,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Rarely,Research & Development,Life Sciences,RM008,0-5,Poor,Male,Laboratory Technician,Divorced,Jun,NEW_Hire,Y,No,Meet Expectations,1.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Travel_Rarely,Research & Development,Life Sciences,RM008,0-5,Poor,Male,Laboratory Technician,Divorced,Nov,NEW_Hire,Y,No,Meet Expectations,1.00%,Upto 5k,0-10,2023
