Age band,Attrition,Attrition label,Business Travel,Curr as Manager,Department,Distance Status,Education,Education Field,Employee Number,Enviroment status,Gender,INR Salary,Job Role,job Satisfied,Job_satisfaction,Last promotion,Marital Status,Number Emp,Over Time,Percent Salary Hike,performance scale,Relationship Satisfaction,Stock Option Level,total working year status,Tranning time,Year,Year At Company,Year Current role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Bachelor's Degree,Life Science,1581,Abivalent,Male,₹ 890640, UI/UX Designer,Very Satisfied,Dissatisfied,6-10,Single,STAFF-1581,No,2100%,Below Expectations,1,0%,0-10,More than 3,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Bachelor's Degree,Marketing,705,Very happy,Male,₹ 683520, UI/UX Designer,Very Dissatisfied,Very satisfied,6-10,Married,STAFF-705,Yes,1600%,Meet Expectations,2,1%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Bachelor's Degree,Marketing,1875,Happy,Male,₹ 295360, UI/UX Designer,Satisfied,Very Dissatisfied,6-10,Married,STAFF-1875,No,1900%,Exceed Expectations,1,1%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Bachelor's Degree,Medical,505,Very happy,Male,₹ 1860640,Cybersecurity Analyst,Very Satisfied,Dissatisfied,6-10,Married,STAFF-505,No,1300%,Meet Expectations,4,0%,21-30,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Bachelor's Degree,Other,934,Very happy,Male,₹ 551680,Network Engineer,Very Dissatisfied,Very satisfied,6-10,Married,STAFF-934,No,1400%,Meet Expectations,2,2%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Bachelor's Degree,Technical Degree,1071,Happy,Female,₹ 972320,Network Engineer,Satisfied,Very Dissatisfied,6-10,Divorced,STAFF-1071,No,1900%,Exceed Expectations,3,1%,11-20,More than 3,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Master's Degree,Marketing,1580,Very happy,Female,₹ 1040640,Network Engineer,Satisfied,Very Dissatisfied,6-10,Single,STAFF-1580,No,1700%,Meet Expectations,4,1%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Master's Degree,Medical,1835,Abivalent,Male,₹ 339520,Sale Representative,Satisfied,Very Dissatisfied,6-10,Single,STAFF-1835,No,2000%,Below Expectations,3,2%,11-20,More than 3,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Master's Degree,Other,101,Happy,Male,₹ 1205360,Sale Representative,Satisfied,Very Dissatisfied,6-10,Single,STAFF-101,Yes,1400%,Exceed Expectations,1,0%,11-20,0-3 Year,2020,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Master's Degree,Technical Degree,38,Very happy,Female,₹ 1825760,Software Developer,Satisfied,Very Dissatisfied,6-10,Married,STAFF-38,Yes,1200%,Meet Expectations,2,0%,21-30,0-3 Year,2020,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Master's Degree,Technical Degree,1587,Very happy,Male,₹ 337840,Software Developer,Dissatisfied,satisfied,6-10,Single,STAFF-1587,No,1600%,Meet Expectations,4,0%,0-10,More than 3,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Far,Associates Degree,Medical,1137,Very happy,Female,₹ 1480000,Software Developer,Satisfied,Very Dissatisfied,6-10,Married,STAFF-1137,No,1100%,Meet Expectations,3,1%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Far,Bachelor's Degree,Life Science,1529,Abivalent,Male,₹ 1695600,Software Developer,Satisfied,Very Dissatisfied,6-10,Divorced,STAFF-1529,No,1900%,Below Expectations,4,0%,11-20,0-3 Year,2022,11-20 Year,0-10 Year same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Far,Bachelor's Degree,Life Science,1768,Unhappy,Female,₹ 716160,Network Engineer,Very Dissatisfied,Very satisfied,6-10,Single,STAFF-1768,No,2200%,Outstanding,3,3%,0-10,More than 3,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Far,Bachelor's Degree,Life Science,1870,Abivalent,Female,₹ 1907520,Software Developer,Satisfied,Very Dissatisfied,0-5,Single,STAFF-1870,No,1900%,Below Expectations,3,1%,0-10,0-3 Year,2022,6-10 Year,0-10 Year same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Far,Bachelor's Degree,Technical Degree,194,Happy,Male,₹ 1912800,IT Project Manager,Satisfied,Very Dissatisfied,6-10,Married,STAFF-194,No,1400%,Exceed Expectations,3,0%,0-10,More than 3,2020,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Near,Associates Degree,Marketing,652,Very happy,Male,₹ 1120320,Network Engineer,Satisfied,Very Dissatisfied,6-10,Divorced,STAFF-652,No,1400%,Meet Expectations,4,0%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Near,High School,Technical Degree,16,Abivalent,Female,₹ 1213600,Network Engineer,Satisfied,Very Dissatisfied,0-5,Married,STAFF-16,No,1700%,Below Expectations,1,1%,0-10,0-3 Year,2020,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Associates Degree,Life Science,546,Very happy,Female,₹ 824800,IT Project Manager,Satisfied,Very Dissatisfied,6-10,Married,STAFF-546,No,1300%,Meet Expectations,1,0%,31 plus,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Associates Degree,Life Science,1125,Happy,Male,₹ 1649520,Software Developer,Satisfied,Very Dissatisfied,6-10,Divorced,STAFF-1125,No,1600%,Exceed Expectations,3,0%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Associates Degree,Life Science,1687,Abivalent,Male,₹ 2094080,Software Developer,Dissatisfied,satisfied,6-10,Single,STAFF-1687,Yes,1900%,Below Expectations,2,1%,0-10,More than 3,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Associates Degree,Marketing,715,Very happy,Male,₹ 1218560,Data Scientist,Satisfied,Very Dissatisfied,6-10,Divorced,STAFF-715,No,1700%,Meet Expectations,3,0%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Associates Degree,Other,1275,Very happy,Female,₹ 797840,Sale Representative,Satisfied,Very Dissatisfied,6-10,Married,STAFF-1275,No,2000%,Meet Expectations,2,0%,0-10,0-3 Year,2022,6-10 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Associates Degree,Technical Degree,556,Happy,Female,₹ 968480,Software Developer,Satisfied,Very Dissatisfied,6-10,Married,STAFF-556,No,2300%,Exceed Expectations,3,1%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Bachelor's Degree,Marketing,1558,Abivalent,Female,₹ 1790080, UI/UX Designer,Satisfied,Very Dissatisfied,6-10,Single,STAFF-1558,No,1800%,Below Expectations,4,2%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Bachelor's Degree,Medical,39,Very happy,Male,₹ 533600,Software Developer,Very Satisfied,Dissatisfied,6-10,Married,STAFF-39,Yes,1100%,Meet Expectations,1,0%,0-10,0-3 Year,2020,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Bachelor's Degree,Medical,1154,Happy,Male,₹ 1767040,Sale Representative,Dissatisfied,satisfied,6-10,Married,STAFF-1154,No,1400%,Exceed Expectations,2,1%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Bachelor's Degree,Medical,1215,Unhappy,Male,₹ 759200,Network Engineer,Dissatisfied,satisfied,6-10,Married,STAFF-1215,No,2200%,Outstanding,4,1%,31 plus,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Master's Degree,Human Resources,1873,Happy,Female,₹ 638000,Data Scientist,Dissatisfied,satisfied,6-10,Married,STAFF-1873,Yes,2000%,Exceed Expectations,2,1%,11-20,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Master's Degree,Life Science,635,Abivalent,Female,₹ 1256080,Software Developer,Satisfied,Very Dissatisfied,0-5,Single,STAFF-635,No,1200%,Below Expectations,2,1%,0-10,0-3 Year,2021,6-10 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Master's Degree,Life Science,846,Very happy,Female,₹ 295840, UI/UX Designer,Satisfied,Very Dissatisfied,0-5,Single,STAFF-846,No,2000%,Meet Expectations,1,0%,0-10,0-3 Year,2021,6-10 Year,0-10 Year same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Master's Degree,Life Science,1670,Very happy,Female,₹ 313680,Data Scientist,Dissatisfied,satisfied,6-10,Divorced,STAFF-1670,No,1400%,Meet Expectations,1,2%,0-10,More than 3,2022,6-10 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Master's Degree,Marketing,1563,Unhappy,Female,₹ 1185120,Software Developer,Satisfied,Very Dissatisfied,6-10,Married,STAFF-1563,No,1100%,Outstanding,1,0%,0-10,0-3 Year,2022,6-10 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Master's Degree,Medical,1772,Very happy,Female,₹ 1641600, UI/UX Designer,Dissatisfied,satisfied,6-10,Divorced,STAFF-1772,No,2000%,Meet Expectations,2,2%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Data Engineering,Very Far,Master's Degree,Other,332,Abivalent,Male,₹ 1233360,Software Developer,Very Satisfied,Dissatisfied,6-10,Single,STAFF-332,No,1400%,Below Expectations,4,3%,0-10,0-3 Year,2020,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Far,Associates Degree,Life Science,1045,Very happy,Male,₹ 432320,Cybersecurity Analyst,Very Dissatisfied,Very satisfied,6-10,Married,STAFF-1045,Yes,1300%,Meet Expectations,1,1%,21-30,More than 3,2021,6-10 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Far,Associates Degree,Medical,1908,Very happy,Male,₹ 1345760,IT Project Manager,Very Satisfied,Dissatisfied,6-10,Single,STAFF-1908,Yes,1600%,Meet Expectations,2,2%,11-20,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Far,Associates Degree,Other,2009,Abivalent,Female,₹ 1732240, UI/UX Designer,Satisfied,Very Dissatisfied,0-5,Divorced,STAFF-2009,No,1300%,Below Expectations,4,1%,0-10,More than 3,2022,6-10 Year,0-10 Year same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Far,Bachelor's Degree,Other,961,Very happy,Male,₹ 1389520,Cybersecurity Analyst,Dissatisfied,satisfied,0-5,Married,STAFF-961,No,1100%,Meet Expectations,4,2%,0-10,0-3 Year,2021,6-10 Year,0-10 Year same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Far,High School,Medical,995,Very happy,Female,₹ 1379280,Software Developer,Satisfied,Very Dissatisfied,6-10,Single,STAFF-995,Yes,1800%,Meet Expectations,3,0%,0-10,More than 3,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Near,Associates Degree,Life Science,1551,Very happy,Female,₹ 802880,Sale Representative,Dissatisfied,satisfied,6-10,Married,STAFF-1551,No,1400%,Meet Expectations,3,3%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Near,Bachelor's Degree,Marketing,1126,Happy,Female,₹ 922800,Software Developer,Satisfied,Very Dissatisfied,6-10,Single,STAFF-1126,No,1100%,Exceed Expectations,4,1%,11-20,0-3 Year,2021,6-10 Year,0-10 Year same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Near,Bachelor's Degree,Marketing,1220,Abivalent,Male,₹ 392400,Network Engineer,Dissatisfied,satisfied,6-10,Single,STAFF-1220,No,1200%,Below Expectations,3,1%,0-10,0-3 Year,2021,6-10 Year,0-10 Year same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Near,Bachelor's Degree,Marketing,1465,Happy,Male,₹ 1177600,Network Engineer,Dissatisfied,satisfied,6-10,Single,STAFF-1465,No,1800%,Exceed Expectations,3,2%,0-10,More than 3,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Near,Bachelor's Degree,Other,615,Happy,Male,₹ 909840,Software Developer,Satisfied,Very Dissatisfied,6-10,Divorced,STAFF-615,No,1500%,Exceed Expectations,2,1%,11-20,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Near,Bachelor's Degree,Technical Degree,1269,Happy,Female,₹ 1697680, UI/UX Designer,Satisfied,Very Dissatisfied,6-10,Divorced,STAFF-1269,No,1200%,Exceed Expectations,3,0%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Near,Master's Degree,Life Science,1682,Very happy,Female,₹ 593520,Sale Representative,Satisfied,Very Dissatisfied,6-10,Married,STAFF-1682,No,1400%,Meet Expectations,3,2%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Near,Master's Degree,Life Science,1929,Very happy,Female,₹ 318960,Software Developer,Satisfied,Very Dissatisfied,6-10,Divorced,STAFF-1929,Yes,1900%,Meet Expectations,3,1%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Near,Master's Degree,Medical,1655,Abivalent,Male,₹ 279840,Human Resource,Satisfied,Very Dissatisfied,6-10,Married,STAFF-1655,Yes,1600%,Below Expectations,3,2%,21-30,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Associates Degree,Life Science,106,Happy,Female,₹ 1447360,Human Resource,Satisfied,Very Dissatisfied,6-10,Single,STAFF-106,No,1400%,Exceed Expectations,3,1%,21-30,More than 3,2020,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Associates Degree,Marketing,1779,Abivalent,Female,₹ 2028240,Sale Representative,Satisfied,Very Dissatisfied,6-10,Divorced,STAFF-1779,No,1200%,Below Expectations,4,0%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Bachelor's Degree,Life Science,1260,Abivalent,Male,₹ 336320,Human Resource,Dissatisfied,satisfied,6-10,Single,STAFF-1260,No,1100%,Below Expectations,4,2%,0-10,0-3 Year,2022,6-10 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Bachelor's Degree,Life Science,1303,Abivalent,Male,₹ 1506400,Software Developer,Dissatisfied,satisfied,6-10,Married,STAFF-1303,Yes,1800%,Below Expectations,1,0%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Bachelor's Degree,Life Science,1466,Abivalent,Female,₹ 1983600,Database Administrator,Dissatisfied,satisfied,6-10,Married,STAFF-1466,No,1100%,Below Expectations,1,3%,11-20,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Bachelor's Degree,Marketing,1028,Abivalent,Male,₹ 763280, UI/UX Designer,Very Dissatisfied,Very satisfied,6-10,Single,STAFF-1028,No,2000%,Below Expectations,3,1%,0-10,More than 3,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Bachelor's Degree,Medical,469,Unhappy,Male,₹ 1354240,Software Developer,Satisfied,Very Dissatisfied,6-10,Married,STAFF-469,No,1400%,Outstanding,1,1%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Bachelor's Degree,Medical,730,Happy,Female,₹ 1081120,Cybersecurity Analyst,Dissatisfied,satisfied,6-10,Single,STAFF-730,No,1900%,Exceed Expectations,2,0%,31 plus,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Bachelor's Degree,Medical,850,Unhappy,Female,₹ 1325680,IT Project Manager,Satisfied,Very Dissatisfied,6-10,Married,STAFF-850,No,1100%,Outstanding,4,3%,0-10,More than 3,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Bachelor's Degree,Medical,864,Abivalent,Female,₹ 1539120, UI/UX Designer,Very Satisfied,Dissatisfied,6-10,Married,STAFF-864,No,1200%,Below Expectations,2,1%,11-20,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Bachelor's Degree,Other,491,Abivalent,Male,₹ 220400,IT Project Manager,Very Satisfied,Dissatisfied,6-10,Married,STAFF-491,No,1500%,Below Expectations,3,0%,11-20,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Bachelor's Degree,Technical Degree,1720,Very happy,Male,₹ 1388800,Network Engineer,Satisfied,Very Dissatisfied,6-10,Single,STAFF-1720,No,1300%,Meet Expectations,2,1%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,High School,Human Resources,714,Very happy,Male,₹ 1333840,Software Developer,Satisfied,Very Dissatisfied,6-10,Single,STAFF-714,No,2000%,Meet Expectations,2,2%,0-10,0-3 Year,2021,6-10 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,High School,Marketing,104,Abivalent,Male,₹ 1279840, UI/UX Designer,Dissatisfied,satisfied,6-10,Single,STAFF-104,Yes,1200%,Below Expectations,3,2%,0-10,0-3 Year,2020,6-10 Year,0-10 Year same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,High School,Marketing,604,Very happy,Female,₹ 667680, UI/UX Designer,Satisfied,Very Dissatisfied,6-10,Married,STAFF-604,No,1300%,Meet Expectations,1,0%,0-10,0-3 Year,2021,6-10 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,High School,Medical,885,Very happy,Male,₹ 1452320,Network Engineer,Satisfied,Very Dissatisfied,6-10,Married,STAFF-885,No,1200%,Meet Expectations,3,0%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,High School,Technical Degree,800,Very happy,Male,₹ 1920640,Database Administrator,Dissatisfied,satisfied,6-10,Single,STAFF-800,No,1900%,Meet Expectations,3,1%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,High School,Technical Degree,1074,Unhappy,Male,₹ 1385840,IT Project Manager,Dissatisfied,satisfied,0-5,Married,STAFF-1074,No,1500%,Outstanding,3,0%,31 plus,0-3 Year,2021,6-10 Year,0-10 Year same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Master's Degree,Life Science,95,Very happy,Male,₹ 1502000,Software Developer,Satisfied,Very Dissatisfied,6-10,Divorced,STAFF-95,No,1700%,Meet Expectations,4,0%,0-10,More than 3,2020,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Master's Degree,Life Science,200,Very happy,Female,₹ 556880,Sale Representative,Very Satisfied,Dissatisfied,6-10,Married,STAFF-200,No,2100%,Meet Expectations,3,1%,0-10,0-3 Year,2020,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Master's Degree,Life Science,477,Happy,Male,₹ 1366240,IT Project Manager,Satisfied,Very Dissatisfied,6-10,Single,STAFF-477,No,2300%,Exceed Expectations,4,0%,11-20,More than 3,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Master's Degree,Medical,271,Unhappy,Female,₹ 580720, UI/UX Designer,Satisfied,Very Dissatisfied,6-10,Single,STAFF-271,No,1400%,Outstanding,4,0%,11-20,0-3 Year,2020,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Master's Degree,Medical,655,Very happy,Male,₹ 401040, UI/UX Designer,Dissatisfied,satisfied,6-10,Divorced,STAFF-655,Yes,1200%,Meet Expectations,3,2%,0-10,More than 3,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,IT Operations,Very Far,Master's Degree,Medical,1721,Abivalent,Male,₹ 1448240,Sale Representative,Very Satisfied,Dissatisfied,6-10,Divorced,STAFF-1721,No,1400%,Below Expectations,2,1%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,5-15yr,Cybersecurity,Far,Bachelor's Degree,Medical,1582,Abivalent,Male,₹ 988400,Sale Representative,Very Satisfied,Dissatisfied,0-5,Single,STAFF-1582,No,1100%,Below Expectations,4,1%,0-10,0-3 Year,2022,6-10 Year,0-10 Year same Role
22-30yr,No,Current Employees,Frequently,5-15yr,Cybersecurity,Far,Master's Degree,Other,1576,Unhappy,Male,₹ 1322400,Software Developer,Dissatisfied,satisfied,0-5,Married,STAFF-1576,Yes,1200%,Outstanding,1,1%,0-10,0-3 Year,2022,6-10 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,5-15yr,Cybersecurity,Near,Associates Degree,Life Science,1976,Very happy,Female,₹ 1184880, UI/UX Designer,Satisfied,Very Dissatisfied,6-10,Single,STAFF-1976,No,1200%,Meet Expectations,4,0%,11-20,0-3 Year,2022,11-20 Year,0-10 Year same Role
22-30yr,No,Current Employees,Frequently,5-15yr,Cybersecurity,Near,Associates Degree,Medical,160,Happy,Male,₹ 1238400,Sale Representative,Satisfied,Very Dissatisfied,6-10,Single,STAFF-160,No,1300%,Exceed Expectations,3,1%,0-10,0-3 Year,2020,6-10 Year,0-10 Year same Role
